domain,country,city,address,zipcode,orgnization,admin email
www.kbs.co.kr,-,-,"18  KoreanBroadcastingSystem, Yeouido-dong, Yeongdeungpo-gu, Seoul",150790,Korean Broadcasting System,domain@kbs.co.kr
www.kt.com,KR,Gyeonggi-do,"KT Corporation Jeongja-dong Bundang-gu, Seongnam-si",463711,KT Corporation,-
paran.com,KR,Seoul,"395-62 Sindaebang-dong, Dongjak-gu, Seoul, Korea",156156,KTH CO.LTD,-
www.lge.co.kr,-,-,"20 Yoidodong Youngdungpogu, Seoul",150721,"LG Electronics, INC",domain@lge.com
galleria.co.kr,-,-,"92 sejongdaero, Jung-gu, Seoul, &nbsp;",100701,"HanwhaGalleria Co.,Ltd.",hsleh@hanwha.co.kr
www.ken.go.kr,-,-,"Gyeonggido Office of Education, 18 Jowon-ro Jangan-gu Suwon-si, Gyeonggi-do, KR",16279,kyonggi province office of education,wjstks@goe.go.kr
www.kyobobook.co.kr,-,-,"1, Jong-ro, Jongno-gu, Seoul, &nbsp;",3154,"Kyobobook Centre Co., Ltd.",domain@kyobobook.co.kr
www.kbstar.com,KR,Seoul,"84, Jung-gu Namdaemun-ro, Seoul, KR",4534,"Kookmin Bank CO., LTD.",-
www.rda.go.kr,-,-,", 300 Nongsaengmyeong-ro Wansan-gu Jeonju-si, Jeollabuk-do, KR",54875,Rural Development Administration,nihill95@korea.kr
www.danawa.com,KR,Seoul,501 233-1 Mokdongdong-ro Yangcheon-gu,7995,DANAWA Inc.,-
www.dje.go.kr,-,-,"., 89 Dunsan-ro Seo-gu, Daejeon, KR",35239,Daejon Metropolitan Office of Education,djegokr@korea.kr
www.pss.go.kr,-,-,"pss, Sejongno Jongno-gu, Seoul, KR",110050,President secretary service,kimbk3@pss.go.kr
dcinside.com,KR,SEOUL,(ES Tower 10F Samseong-dong) 14 Teheran-ro 77-gil Gangnam-gu,6158,dcinside,-
www.lotte.com,KR,Seoul,"Sampung Bldg, 158, Jung-gu Eulji-ro , Seoul, KR",4548,Gang-heetae other 1,-
www.lotteworld.com,KR,Seoul,"Sampung Bldg, 158, Jung-gu Eulji-ro , Seoul, KR",4548,Gang-heetae other 1,-
plaync.co.kr,-,-,"644-12 Daewangpangyo-ro , Bundang-gu, Seongnam-si, Gyeonggi-do, &nbsp;",463400,NCsoft Corp.,domain@ncsoft.com
www.mediajob.co.kr,-,-,"189, Seongam-ro, Mapo-gu, Seoul, Korea, #707, KBIZ DMC Tower",3929,Si-Chul KIM,postmaster@mediajob.co.kr
www.bokji.net,KR,SEOUL,"Gongdeok-dong Mapo-gu Seoul Korea, 5F, korea social welfare bldg #456",121020,kncsw,-
www.saramin.co.kr,-,-,"201 Colon Science Valley 43, Digital-ro 34-gil, Guro-gu,, Seoul",8378,"SaraminHR co., Ltd",domain@saramin.co.kr
www.sba.seoul.kr,-,-,"514, Daechi-dong, Gangnam-gu, Seoul KR",135280,SBA,hanson@sba.seoul.kr
fire.seoul.go.kr,-,-,"Taepyeongno 1-ga, Jung-gu, Seoul, Republic of Korea, 31, Seoul KR",100744,Seoul Metropolitan Government,domain@seoul.go.kr
hrd.seoul.go.kr,-,-,"Taepyeongno 1-ga, Jung-gu, Seoul, Republic of Korea, 31, Seoul KR",100744,Seoul Metropolitan Government,domain@seoul.go.kr
www.smpa.go.kr,-,-,"Public Relations Office, 31 Sajik-ro 8-gil Jongno-gu, Seoul, KR",3169,SEOUL METROPOLITAN POLICE AGENCY,darkblue@npa.go.kr
www.stechedu.or.kr,-,-,"22 Munjeong-ro Seo-gu Daejeon, 602",35261,Kim kyung hoon,centop@naver.com
www.nbedu.or.kr,-,-,"Sanbon-dong Gunpo-si Gyeonggi-do, 1100",15820,Hangang systems Inc.,domainprivacy@doregi.com
www.ssg.com,KR,Seoul,2 Namdaemunsijang 10-gil Jung-gu,4529,Shinsegae Payments,-
flyasiana.com,KR,Seoul,"443-83, Ojeong-ro, Gangseo-gu, Seoul",7505,Asiana Airlines Inc.,-
www.aladin.co.kr,-,-,-,-,Aladin Communications Inc.,webmaster@aladin.co.kr
www.ottogi.co.kr,-,-,"160 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do, Korea, &nbsp;",431070,OTTOGI CORPORATION,hslee0913@ottogi.co.kr
www.opensns.co.kr,-,-,"60-17 Backsang Star Tower , Gasan-dong Geumcheon-gu, Seoul, KR",153023,"OPENBASE, Inc.",webmaster@openbase.co.kr
www.wooribank.com,KR,Seou,51 Sogong-ro Jung-gu,4632,"Woori Bank Co., LTD.",-
www.emart.com,KR,Seoul,377 Ttukseom-ro Seongdong-gu,4781,"Emart Co.,Ltd.",-
www.ice.go.kr,-,-,"9, Jeonggak-ro, Namdong-gu, Incheon, Republic of, Korea, KR",21554,Inchon Metrooplitan Office of Education,sinsunjin@ice.go.kr
www.jobkorea.co.kr,-,-,"Dongikseongbong Building, 301, Seocho-gu Seocho-daero Seoul",6606,JOBKOREA,domain@jobkorea.co.kr
www.etnews.com,KR,Seoul,"123, Gasan digital 2-ro, Geumcheon-gu, Seoul",8505,Electronic Times Internet.,-
www.software.or.kr,-,-,"NIPA., 10, Jeongtong-ro, Deoksan-myeon, Jincheon-gun, Chungcheongbuk-do, &nbsp;",27872,NIPA,domain@nipa.kr
www.kait.or.kr,-,-,", 111 Yeoksam-ro Gangnam-gu, Seoul, KR",6242,Korea Association for ICT Promotion,webmaster@kait.or.kr
www.nec.go.kr,-,-,"1064, Namhyeon-dong, Gwanak-gu, Seoul, KR",151800,National Election Commission,bk4758@nec.go.kr
www.nfsa.go.kr,-,-,", 269 Taejosan-gil Dongnam-gu Cheonan-si, Chungcheongnam-do, KR",31068,nfsa,rootlove@nema.go.kr
www.kakao.com,KR,Jeju-do,"1F, 242 Cheomdan-ro,  Jeju-si",63309,Kakao Corp,-
www.korail.go.kr,-,-,"122, Bongnae-dong 2-ga, Jung-gu, Seoul, KR",100162,KOREA RAILROAD,zefe@freechal.com
www.coupang.com,KR,Seoul,"570, Songpa-daero, Songpa-gu, Seoul",5510,Coupang Corp.,-
kostat.go.kr,-,-,"Dunsan 2(i)-dong, Seo-gu, Daejeon, Republic of Korea, 3-1301, Daejeon, KR",302701,KOSTAT,jangdo@korea.kr
kita.net,KR,Seoul,"511, Yeongdong-daero, Gangnam-gu, Seoul, Korea",135729,KITA,-
www.auction.co.kr,-,-,-,-,"eBay Korea Co., Ltd.",DL-SEL-Network@ebay.com
www.unrecruit.go.kr,-,-,-,-,"UN Division, Ministry of",unrecruit@mofat.go.kr
